class,subclass,preconditions,present,imperfective,perfective,imperative,infinitive
a,,,a',ahsk,,a,ahst
become,,,k,k,ts,ki,hst;'ihst;yhst;ihst
ko-kots,,,kok,kok,kots,ko'i,kohst
sk-s,hi-hihst,,hsk,hsk,hs,hi,hihst
sk-s,a,C,hsk,hsk,hs,a,hihst;hst
sk-s,hst,V,hsk,hsk,hs,;hi,hst
sk-s,la,V,hsk,hsk,hs,la,hst
sk-h,,,hsk,hsk,h,ha;,hst
sk-h,yh,V,hsk,hsk,yh,yha,hst
hvsk,han,C,hvhsk,hvhsk,han,hvka,ht;hvhst
hvsk,nh,V,hvhsk,hvhsk,nh,hvka,ht;*ht;hvhst;*oht
hvsk,n,hV,hvhsk,hvhsk,n,hvka,*oht
husk,,,huhsk,huhsk,hun,huka,huhst
episodic,,,vhvhsk,vhvhsk,vnh,vhvka;vna,ht;vhvhst
terminative,,C,ohvhsk,ohvhsk,onh,onha,ohvhst
terminative,no-o,V,hvhsk,hvhsk,nh,nha,hvhst
e-aka,,,e',ehsk,a',aka,ehst
e-a,,,e',ehsk,e',a,et
apl-active,,,eh,ehsk,eh,vla,eht
apl-active,h,,heh,hehsk,helh,hvla,heht
apl-active,',',eh,ehsk,elh,vla,eht
apl-active,a,,eh,ehsk,eh,a,ht
apl,,,eh,eh,el,*hsi;@hsi;ihsi;vla,eht
go,,,ek;,ek,vhs,uka,vhst
go,in,,ek,ek,invhs;ehs,uka,invt
cause,,,ih;,ihsk,han;anh;an,a,oht
ih-il,,,ih,ih,il,ika,ihst
hih,hil,C,hih,hih,hil,hka;hika,hst
hih,hilh,C,hih,hih,hilh,hika,hihst
hih,lh,V,hih,hih,lh,ka;ha,hst
ih-vh,,,ih,ihsk;ih,vh,a,ht;vht
vnh,ih-a,,ih,ihsk,vnh,a,ht
vnh,vsk,,vhsk,vhsk,vnh,vna,ht;vht;vnht;vhst
i-vka,,,i',ihsk,an,vka,ot
i-a,i,,i',ihsk,;ihs,a,ihst
i-a,ihsk,,ihsk,ihsk,ihs,a,ihst
ih-ihi,,,ih,ihsk,ihs,ihi,ihihst
o,,C,o',ohsk,o',otsa,ohst
be-at,,,oh,oh,ol,a,ahst
oh,al,,hoh,hoh,hal,hka;aka,hst
oh,ol,,oh,oh,ol,aka,ot;hst;ahst
v-vhs,,C,v',vhsk,vhs,vna,vhst
vsk,,C,vhsk,vhsk,vn,vka;v'vka,vt
vsk,long,C,v'vhsk,v'vhsk,vn,vka;v'vka,vt
vsk,post-v,V,'vhsk,'vhsk,n,'vka,t
rev,gi,,ki',kihsk,kihs,ki,kihst
rev,i,,i',ihsk,ihs,i,ihst
rev,'i,,'i','ihsk,'ihs,'i,'ihst
rev,e,,e',ehsk,ehs,aki,ehst
stative,,,,,,ehsti,ht;oht
stative,k,,k,k,k,kehsti,
stative,h,,h,h,h,hehsti,ht
stative,s,,h,hs,hs,hsehsti,ht
stative,a',,a',a',a',a'ehsti,vt
stative,eh,,eh,eh,eh,ehehsti,
